,state,month,positiveIncrease,totalTestResultsIncrease,change,population,per_capita
31,CA,7,264567,3881643,0.40987354318875796,39557045,0.006688239730748341
32,CA,8,156703,3249591,-0.4077001288898464,39557045,0.0039614435304760505
33,CA,9,97294,3619298,-0.3791184597614596,39557045,0.0024595871607699716
35,CO,4,12897,87550,0.6513444302176696,5695564,0.002264393833516751
36,CO,5,8292,160753,-0.35705978134449873,5695564,0.0014558698664434285
37,CO,6,8556,214324,0.03183791606367583,5695564,0.0015022217290508895
38,CO,7,14852,342667,0.7358578775128565,5695564,0.00260764342214397
39,CO,8,9161,285871,-0.3831807164018314,5695564,0.0016084447475263205
40,CO,9,19078,468290,1.0825237419495688,5695564,0.0033496243743376423
42,CT,4,21475,103721,0.5363428244384032,3572665,0.006010919019835333
43,CT,5,9624,207789,-0.5518509895227008,3572665,0.0026937874107983814
44,CT,6,2442,246772,-0.7462593516209476,3572665,0.00068352336421131
45,CT,7,3367,333567,0.3787878787878788,3572665,0.0009424337294428669
46,CT,8,3998,442298,0.1874071874071874,3572665,0.0011190525839954208
47,CT,9,6966,538736,0.7423711855927964,3572665,0.0019498049775167837
49,DC,4,4678,20374,1.2841796875,702455,0.006659501320369276
50,DC,5,3031,32872,-0.35207353569901667,702455,0.004314867144514596
51,DC,6,1179,69386,-0.6110194655229297,702455,0.0016783993280708373
52,DC,7,2172,102389,0.8422391857506362,702455,0.003092013011509634
53,DC,8,1504,95843,-0.30755064456721914,702455,0.0021410624168096176
54,DC,9,1510,116114,0.003989361702127659,702455,0.0021496038892171027
56,DE,4,5462,31027,2.112250712250712,967171,0.005647398443501718
57,DE,5,3041,48522,-0.4432442328817283,967171,0.0031442216526343324
58,DE,6,2705,96474,-0.11048997040447221,967171,0.0027968166952896645
59,DE,7,3371,97701,0.24621072088724585,967171,0.003485422950026417
60,DE,8,2597,94989,-0.229605458320973,967171,0.0026851508161431638
61,DE,9,3528,104592,0.3584905660377358,967171,0.003647752052119015
63,FL,4,21624,411776,0.07667795259908385,21299325,0.001015243440813265
64,FL,5,31523,866129,0.45777839437661855,21299325,0.0014799999530501554
65,FL,6,213540,1605055,5.774101449735114,21299325,0.010025669827564958
66,FL,7,270515,2350453,0.2668118385314227,21299325,0.012700637226766577
67,FL,8,100866,1722484,-0.6271334306785206,21299325,0.0047356430309411215
68,FL,9,74196,1672765,-0.26441020760216527,21299325,0.0034834906740002325
70,GA,4,21635,200052,0.5282192554919828,10519475,0.0020566615729397143
71,GA,5,21823,353137,0.008689623295585857,10519475,0.0020745331872550673
72,GA,6,66282,525764,2.0372542730147094,10519475,0.006300884787501277
73,GA,7,107932,830433,0.6283757279502731,10519475,0.010260207852578194
74,GA,8,63442,644053,-0.41220398028388244,10519475,0.006030909337205516
75,GA,9,39264,589051,-0.38110400050439774,10519475,0.0037325056621171685
77,HI,4,134,20752,-0.7330677290836654,1420491,9.433357902302795e-05
78,HI,5,85,27692,-0.3656716417910448,1420491,5.983846430565206e-05
79,HI,6,520,45220,5.117647058823529,1420491,0.0003660706051639891
80,HI,7,3069,76630,4.901923076923077,1420491,0.0021605205524005433
81,HI,8,6522,152845,1.1251221896383188,1420491,0.004591370167076032
82,HI,9,2939,115496,-0.5493713584789942,1420491,0.002069002901109546
84,IA,4,11776,70409,5.257173219978746,3156145,0.0037311340258448203
85,IA,5,10251,135340,-0.12950067934782608,3156145,0.003247949634760127
