,state,month,positiveIncrease,covid_change,population,covid_percap,weighted_pax,weighted_percap
88,KS,8,16014,0.1581688001735735,2911505,0.005500248153446414,127.3457144267626,4.3738792970220764e-05
89,KS,9,19256,0.20244785812414134,2911505,0.006613761611262903,139.16045386513113,4.779674218836345e-05
90,KY,4,5032,1.4739429695181907,4468402,0.0011261296544044157,29.761433599696108,6.660419899484449e-06
91,KY,5,5365,0.06617647058823528,4468402,0.0012006529403576491,145.9865545197816,3.2670864107522465e-05
92,KY,6,7778,0.4497670083876981,4468402,0.0017406670214542021,984.2688473760076,0.00022027311942300794
93,KY,7,18075,1.323862175366418,4468402,0.004045070251065146,1639.2513042415158,0.00036685403512072453
94,KY,8,18984,0.05029045643153518,4468402,0.004248498680288837,768.0188465906735,0.00017187774210795573
95,KY,9,25731,0.35540455120101133,4468402,0.00575843444703498,751.1237106762575,0.00016809671794889035
96,LA,4,11971,-0.4423533796059067,4659978,0.002568896248008038,40.110878978923395,8.60752539581161e-06
97,LA,5,13130,0.09681730849553083,4659978,0.002817609868544444,114.72864499500812,2.461999713196245e-05
98,LA,6,35423,1.6978674790555979,4659978,0.007601538033012173,567.7783481934432,0.0001218414224688278
99,LA,7,54695,0.5440532987042317,4659978,0.011737179875098123,1271.0667964186057,0.00027276240283078713
100,LA,8,22145,-0.5951183837645123,4659978,0.004752168357876368,763.4551011419022,0.00016383234022604876
101,LA,9,17327,-0.21756604199593588,4659978,0.00371825789735488,784.7630988132854,0.00016840489350234815
102,MA,4,54073,0.9262940401125717,6902149,0.007834226702437169,59.96210284895379,8.687454131887589e-06
103,MA,5,23421,-0.5668633144083,6902149,0.003393290988067629,162.3654871280347,2.3523903515852045e-05
104,MA,6,6527,-0.7213184748729773,6902149,0.000945647507754469,1213.5238415668773,0.00017581826204662887
105,MA,7,10401,0.5935345487973036,6902149,0.0015069219745908122,2156.933342405833,0.0003125017067011786
106,MA,8,2549,-0.7549274108258821,6902149,0.0003693052699963446,1128.8656792775564,0.00016355278323860532
107,MA,9,15912,5.242448018830914,6902149,0.0023053689510324975,991.1388899386,0.00014359859370445348
108,MD,4,26431,1.7981156044886726,6042718,0.004374025066203652,29.02034529563915,4.8025317904358845e-06
109,MD,5,25798,-0.02394915061859182,6042718,0.004269270881083645,124.01322317380962,2.0522755351782032e-05
110,MD,6,12559,-0.513179316226064,6042718,0.002078369369545294,1065.4746705651373,0.00017632374546770798
111,MD,7,24615,0.9599490405287046,6042718,0.004073498051704548,2038.1356457261222,0.00033728789689112124
112,MD,8,17771,-0.27804184440381885,6042718,0.0029408951402332528,1075.8617396084553,0.00017804268536252316
113,MD,9,16272,-0.08435090878397389,6042718,0.0026928279625162053,1042.5696411114982,0.00017253322778119023
114,ME,4,831,0.13679890560875507,1338404,0.0006208887600455468,7.09691636808145,5.302521785710032e-06
115,ME,5,1228,0.4777376654632972,1338404,0.0009175107067821076,25.952930800112732,1.939095430087831e-05
116,ME,6,773,-0.37052117263843654,1338404,0.0005775535637968805,149.81876236577534,0.00011193837015264101
117,ME,7,549,-0.2897800776196636,1338404,0.0004101900472503071,302.5760063357243,0.0002260722519775227
118,ME,8,788,0.43533697632058277,1338404,0.0005887609421370527,207.90103646312176,0.00015533503819707784
119,ME,9,913,0.15862944162436543,1338404,0.0006821557616384889,198.27590640720555,0.0001481435399230767
120,MI,4,23423,-0.2653912498039831,9995915,0.0023432572205746047,94.3294275737264,9.43679768922869e-06
121,MI,5,9018,-0.6149938095034795,9995915,0.0009021685358468935,232.04610312036561,2.3214093269137004e-05
122,MI,6,11810,0.30960301618984243,9995915,0.0011814826356566657,1413.8483352832866,0.00014144261283567203
123,MI,7,22860,0.9356477561388654,9995915,0.0022869342126258575,2694.6681871351548,0.0002695769408938706
124,MI,8,23563,0.030752405949256323,9995915,0.002357262941911771,1627.7809219870494,0.0001628446142236153
125,MI,9,30168,0.2803123541145016,9995915,0.003018032866425935,1544.192127696658,0.00015448231879689432
126,MN,4,14400,5.9397590361445785,5611179,0.002566305583906698,82.18610947225751,1.4646852198487611e-05
127,MN,5,13906,-0.03430555555555559,5611179,0.002478267045125454,173.00921592739823,3.083295256262512e-05
128,MN,6,12699,-0.08679706601466997,5611179,0.002263160736807719,896.6375129459244,0.00015979485112592638
129,MN,7,20553,0.6184738955823292,5611179,0.0036628665740301635,1646.931012064082,0.0002935089064284141
130,MN,8,21226,0.03274461149223962,5611179,0.003782805716944692,1169.8523081582916,0.00020848600769255297
131,MN,9,30994,0.4601903326109489,5611179,0.0055236163380280685,1182.846056955104,0.00021080169728235438
132,MO,4,5631,0.2026911576249466,6126452,0.0009191290489177096,62.970756261164844,1.027850316319541e-05
133,MO,5,5493,-0.024507192328183325,6126452,0.0008966037765414631,221.87789623395045,3.621637715172672e-05
134,MO,6,13016,1.369561259785181,6126452,0.0021245575742697403,1468.2303211017743,0.0002396542601005891
135,MO,7,36444,1.7999385371850032,6126452,0.0059486306266661355,2402.311800687245,0.0003921212148054445
136,MO,8,38809,0.06489408407419606,6126452,0.006334661562679345,1348.0278142207756,0.00022003401221796492
137,MO,9,44600,0.1492179649050478,6126452,0.007279906869424587,1252.3572944903754,0.00020441803746938281
138,MS,4,7396,1.400519311911717,2986530,0.0024764526055321727,10.264358248981047,3.4368843604387187e-06
139,MS,5,9033,0.22133585722011895,2986530,0.0030245803658426333,21.754766143213022,7.284295199851675e-06
140,MS,6,18026,0.9955717923170597,2986530,0.006035767261671572,81.80947471265186,2.7392818660000692e-05
141,MS,7,33388,0.8522134694330412,2986530,0.011179529420431069,145.82845694300735,4.882872663023889e-05
142,MS,8,19088,-0.42829759194920336,2986530,0.00639136389053517,105.07581945394745,3.518324592552141e-05
143,MS,9,16799,-0.11991827326068738,2986530,0.005624922569001483,124.69572587527219,4.175271163365919e-05
144,MT,4,63,-0.8401015228426396,1062305,5.930500185916474e-05,12.039975469630281,1.1333821708106693e-05
145,MT,5,139,1.2063492063492065,1062305,0.00013084754378450635,54.77116486406039,5.1558794191932064e-05
146,MT,6,1351,8.719424460431656,1062305,0.0012717628176465328,312.7346844063246,0.00029439255619273616
147,MT,7,3589,1.6565507031828277,1062305,0.0033785024075006706,786.3360668826624,0.0007402168556889617
148,MT,8,3566,-0.006408470325996118,1062305,0.0033568513750758962,508.0250352265054,0.0004782289787080974
149,MT,9,11103,2.113572630398205,1062305,0.010451800565750891,506.8164288815593,0.00047709125804882717
150,NC,4,11483,1.2961407718456308,10383620,0.001105876370668418,122.02211229909456,1.1751403874476778e-05
151,NC,5,27612,1.404598101541409,10383620,0.002659188221448782,324.06648713903326,3.1209393943444894e-05
152,NC,6,45365,0.6429450963349268,10383620,0.004368900248660872,1404.2991938044154,0.00013524177442976682
153,NC,7,52686,0.16137991843932542,10383620,0.005073953014459312,2771.7214918591694,0.00026693209996698353
154,NC,8,43611,-0.1722468967088031,10383620,0.0041999803536724185,1675.3570139144213,0.00016134614074036043
155,NC,9,50626,0.16085391300359997,10383620,0.004875563628098871,1906.7135455295036,0.00018362705352560125
156,ND,4,1366,3.0176470588235293,760077,0.001797186337699996,9.95777518268064,1.3101008427673302e-05
157,ND,5,1369,0.002196193265007418,760077,0.001801133306230816,37.08038063619382,4.878503182729358e-05
158,ND,6,1409,0.029218407596786067,760077,0.0018537595533084149,149.0945005470769,0.00019615710059254116
159,ND,7,3822,1.7125621007806955,760077,0.0050284379082645575,241.31550231766002,0.00031748823121560053
160,ND,8,7494,0.9607535321821037,760077,0.00985952738998812,153.72480531620178,0.0002022489896631549
161,ND,9,13025,0.7380571123565518,760077,0.017136421704643082,157.4153162879639,0.00020710443321921842
162,NE,4,8204,8.572928821470246,1929268,0.004252390025647033,14.40387746428918,7.465980602119135e-06
163,NE,5,7558,-0.07874207703559244,1929268,0.00391754800266215,53.48636953232748,2.7723659715668056e-05
164,NE,6,4766,-0.3694098967980948,1929268,0.0024703669992971427,315.1640859683067,0.00016335941194707356
165,NE,7,8261,0.7333193453629878,1929268,0.004281934910028052,524.498390205766,0.00027186393502912293
166,NE,8,8675,0.05011499818423926,1929268,0.004496524070269139,301.08227272631683,0.00015606036731357012
167,NE,9,15208,0.7530835734870318,1929268,0.007882782485377875,321.4199149944039,0.0001666020039695905
168,NH,4,2279,1.2497532082922014,1356458,0.0016801109949589298,6.192193248134247,4.564972338350504e-06
169,NH,5,2000,-0.12242211496270294,1356458,0.0014744282535839664,25.010194083053765,1.8437868391836507e-05
170,NH,6,769,-0.6154999999999999,1356458,0.0005669176635030351,145.23458266109657,0.00010706898603649842
171,NH,7,853,0.1092327698309492,1356458,0.0006288436501535617,214.48426074843474,0.00015812082699828136
172,NH,8,793,-0.07033997655334112,1356458,0.0005846108025460427,115.26227656151549,8.497297856735372e-05
173,NH,9,1635,1.0617906683480456,1356458,0.0012053450973048927,96.60670320618206,7.12198263463978e-05
174,NJ,4,74001,0.07644081110173673,8908520,0.008306767005069304,38.74156972232191,4.348822219888591e-06
175,NJ,5,24636,-0.6670855799245956,8908520,0.002765442520194151,116.16968406977914,1.3040289977434989e-05
176,NJ,6,9977,-0.5950235427829194,8908520,0.0011199391144657025,1151.5403444792064,0.0001292628118339754
177,NJ,7,12510,0.25388393304600587,8908520,0.0014042736616183158,2399.864838954512,0.0002693898469054918
178,NJ,8,11103,-0.11247002398081529,8908520,0.0012463349692204766,1578.874165168386,0.00017723192687094894
179,NJ,9,21697,0.9541565342700171,8908520,0.002435533623991415,1321.7860236981915,0.00014837324535368294
180,NM,4,4096,1.938307030129125,2095428,0.001954731921115877,13.083575920180058,6.24386804040991e-06
181,NM,5,4220,0.0302734375,2095428,0.0020139083757590333,38.21776670943718,1.8238644663255992e-05
182,NM,6,5791,0.3722748815165877,2095428,0.002763635877729991,225.9854213117106,0.00010784690350215356
183,NM,7,7646,0.3203246416853738,2095428,0.0036488965500126942,344.06694891280733,0.00016419888868183843
184,NM,8,3682,-0.5184410149097567,2095428,0.0017571589193234032,210.83823537040317,0.00010061821993903067
185,NM,9,7448,1.0228136882129277,2095428,0.0035544051143728155,266.3202989976099,0.00012709589592083806
186,NV,4,3411,0.11689587426326131,3034392,0.001124113166657439,95.85839517660122,3.1590643257891933e-05
187,NV,5,4674,0.3702726473175022,3034392,0.0015403415247601496,303.83678164127275,0.00010013102514153502
188,NV,6,18446,2.946512623020967,3034392,0.006078977271229294,1770.208739165758,0.0005833816920047766
189,NV,7,30130,0.6334164588528679,3034392,0.009929501527818423,4203.309302759407,0.0013852229055307972
190,NV,8,14065,-0.5331895121141719,3034392,0.004635195452663993,2870.43649338272,0.0009459675919863749
191,NV,9,13500,-0.0401706363313189,3034392,0.004448996701810445,3028.6215699817153,0.0009980983241393055
192,NY,4,140843,-0.3016892176646454,19542209,0.007207117680503776,99.05801953550183,5.068926421547422e-06
193,NY,5,40273,-0.7140574966452007,19542209,0.002060821271535884,293.9719587256015,1.5042923690233868e-05
194,NY,6,19851,-0.5070891167779903,19542209,0.001015801233115458,2418.517449976709,0.0001237586523599614
195,NY,7,20992,0.057478212684499486,19542209,0.0010741876724376452,3182.0879229733205,0.00016283153675069795
196,NY,8,20781,-0.01005144817073167,19542209,0.0010633905307224991,1891.53078025137,9.679206584329183e-05
