,origin_state,dest_state,month,monthly_pax
48,AK,CT,9.0,151.4812094320107
49,AK,FL,3.0,2909.458722356571
50,AK,FL,4.0,277.90415428246024
51,AK,FL,5.0,912.3571884505735
52,AK,FL,6.0,2029.738657266966
53,AK,FL,7.0,3612.4308088886273
54,AK,FL,8.0,3490.1913290727175
55,AK,FL,9.0,3607.3778620386556
56,AK,GA,3.0,874.7125552249499
57,AK,GA,4.0,265.25178107353963
58,AK,GA,5.0,550.1046076454923
59,AK,GA,6.0,1064.6436112809683
60,AK,GA,7.0,1600.599741145454
61,AK,GA,8.0,1841.6535179990028
62,AK,GA,9.0,1947.746740855543
63,AK,HI,3.0,6940.213698372679
64,AK,HI,4.0,148.02451263313228
65,AK,HI,5.0,321.01208982566175
66,AK,HI,6.0,700.9633975412058
67,AK,HI,7.0,1193.969317022827
68,AK,HI,8.0,723.0312575256863
69,AK,HI,9.0,462.9994254514871
70,AK,IA,3.0,79.89495898627905
71,AK,IA,4.0,17.04527067824359
72,AK,IA,5.0,65.9935660490531
73,AK,IA,6.0,96.96116327270332
74,AK,IA,7.0,357.79262016113177
75,AK,IA,8.0,377.3118412978612
76,AK,IA,9.0,344.89553854100706
77,AK,ID,3.0,937.7559254124359
78,AK,ID,4.0,243.87832381506078
79,AK,ID,5.0,701.4402798545857
80,AK,ID,6.0,1444.6813963303543
81,AK,ID,7.0,2198.511945363695
82,AK,ID,8.0,2420.0865651881923
83,AK,ID,9.0,2371.401489448113
84,AK,IL,3.0,999.3882972653003
85,AK,IL,4.0,312.2913182226673
86,AK,IL,5.0,736.4844869118285
87,AK,IL,6.0,1321.224194865504
88,AK,IL,7.0,3213.0177711698598
89,AK,IL,8.0,3494.0510815167254
90,AK,IL,9.0,3582.9311473134153
91,AK,IN,3.0,244.2229171616719
92,AK,IN,4.0,71.37015774550972
93,AK,IN,5.0,270.5184406201523
94,AK,IN,6.0,478.11140163433805
95,AK,IN,7.0,680.6203539454624
96,AK,IN,8.0,593.9923847847186
97,AK,IN,9.0,595.3872612698187
98,AK,KS,3.0,94.08553226381763
99,AK,KS,4.0,19.61783070006632
100,AK,KS,5.0,67.78781346028124
101,AK,KS,6.0,132.59435583965245
102,AK,KS,7.0,205.91201652651446
103,AK,KS,8.0,217.2675266851051
104,AK,KS,9.0,226.82045678838045
105,AK,KY,3.0,239.30198677413534
106,AK,KY,4.0,35.64468169505749
107,AK,KY,5.0,150.88852743922246
108,AK,KY,6.0,273.4667908657201
109,AK,KY,7.0,678.3755281049162
110,AK,KY,8.0,623.7303398229575
111,AK,KY,9.0,627.8941320721266
112,AK,LA,3.0,579.2216930512558
113,AK,LA,4.0,87.18525248807599
114,AK,LA,5.0,251.28156693562144
115,AK,LA,6.0,501.5331805763026
116,AK,LA,7.0,926.6026484787984
117,AK,LA,8.0,929.5011081214242
118,AK,LA,9.0,923.8962433997772
119,AK,MA,3.0,727.2833951642215
120,AK,MA,4.0,109.83211436170214
121,AK,MA,5.0,255.4161125886525
122,AK,MA,6.0,584.7517730496453
123,AK,MA,7.0,1379.4710218111072
124,AK,MA,8.0,1242.0408788000634
125,AK,MA,9.0,1118.4880993888287
126,AK,MD,3.0,314.23637753824715
127,AK,MD,4.0,27.398447980435535
128,AK,MD,5.0,104.99980213927022
129,AK,MD,6.0,277.6017498802943
130,AK,MD,7.0,565.4211354314078
131,AK,MD,8.0,535.6424605084514
132,AK,MD,9.0,518.9364040601406
133,AK,ME,3.0,26.670507237403527
134,AK,ME,4.0,7.349970393572207
135,AK,ME,5.0,22.205271429986453
136,AK,ME,6.0,40.44475817644134
137,AK,ME,7.0,160.9508184210468
138,AK,ME,8.0,177.9560748350135
139,AK,ME,9.0,161.09310674393976
140,AK,MI,3.0,585.0777408749631
141,AK,MI,4.0,198.47744427269504
142,AK,MI,5.0,403.7611072398772
143,AK,MI,6.0,787.7614484874277
144,AK,MI,7.0,1898.1989862670273
145,AK,MI,8.0,2074.521016777476
146,AK,MI,9.0,1937.279996955497
147,AK,MN,3.0,1239.5762352863821
148,AK,MN,4.0,471.87155494127194
149,AK,MN,5.0,936.4137577172805
150,AK,MN,6.0,1761.7146873414479
151,AK,MN,7.0,3977.877825546781
